query_name,returned_name,use?,taxon_id,rank
Coracina ingens,Coracina ingens,yes,880547,species
Sericornis citreogularis,Sericornis citreogularis,yes,38399,species
Acanthisitta chloris,Acanthisitta chloris,yes,57068,species
Malurus pulcherrimus,Malurus pulcherrimus,yes,722681,species
Astrapia splendidissima,Astrapia splendidissima,yes,681186,species
Acrocephalus rimitarae,Acrocephalus rimitarae,yes,435341,species
Coracina montana,Coracina montana,yes,424876,species
Monarcha brehmii,Monarcha,no,175125,genus
Ptiloris victoriae,Ptiloris victoriae,yes,681208,species
Acanthiza ewingii,Acanthiza ewingii,yes,117186,species
Melampitta lugubris,Melampitta lugubris,yes,254551,species
Megazosterops palauensis,no_record,no,no_record,no_record
Pachycephala johni,Pachycephala,yes,461221,species
Ailuroedus crassirostris,Ailuroedus crassirostris,yes,34925,species
Rhipidura leucothorax,Rhipidura leucothorax,yes,667190,species
Lichenostomus melanops,Lichenostomus melanops,yes,722678,species
Pachycephala griseonota,Pachycephala griseonota,yes,449379,species
Lichmera squamata,Lichmera,no,266361,genus
Parotia berlepschi,Parotia,no,39959,genus
Pericrocotus lansbergei,Pericrocotus lansbergei,yes,424834,species
Pycnopygius ixoides,Pycnopygius,no,266375,genus
Pardalotus rubricatus,Pardalotus rubricatus,yes,722682,species
Eopsaltria flaviventris,Eopsaltria,no,44317,genus
Lichenostomus fasciogularis,Lichenostomus fasciogularis,yes,998100,species
Pachycephala meyeri,Pachycephala,yes,461221,species
Hemignathus ellisianus,Hemignathus,no,64797,genus
Petroica macrocephala,Petroica macrocephala,yes,369484,species
Oriolus szalayi,Oriolus szalayi,yes,890115,species
Semioptera wallacii,Semioptera wallacii,yes,681210,species
Malurus cyanocephalus,Malurus cyanocephalus,yes,1034728,species
Grallina bruijni,Grallina,no,254540,genus
Notiomystis cincta,Notiomystis cincta,yes,366454,species
Ptiloprora plumbea,Ptiloprora plumbea,yes,9148,species
Petroica phoenicea,Petroica phoenicea,yes,665152,species
Manorina melanotis,Manorina,no,44313,genus
Philemon moluccensis,Philemon,no,108843,genus
Pachycephala phaionota,Pachycephala phaionota,yes,449362,species
Myzomela pulchella,Myzomela,no,108837,genus
Zosterops uropygialis,Zosterops,no,36298,genus
Psophodes occidentalis,Psophodes,no,461241,genus
Melidectes nouhuysi,Melidectes,no,43160,genus
Oedistoma iliolophum,Oedistoma iliolophum,yes,175128,species
Myzomela cineracea,Myzomela cineracea,yes,381034,species
Hemignathus parvus,Hemignathus,no,64797,genus
Paradisaea minor,Paradisaea minor,yes,39964,species
Sericornis spilodera,Sericornis,no,27581,genus
Hemignathus munroi,Hemignathus munroi,yes,64798,species
Zosterops conspicillatus,Zosterops conspicillatus,yes,135980,species
Petroica rodinogaster,Petroica rodinogaster,yes,665154,species
Hemignathus flavus,Hemignathus flavus,yes,591142,species
Melithreptus albogularis,Melithreptus albogularis,yes,266320,species
Psophodes olivaceus,Psophodes olivaceus,yes,461246,species
Zosterops explorator,Zosterops,no,36298,genus
Dicaeum aureolimbatum,Dicaeum aureolimbatum,yes,632595,species
Psophodes nigrogularis,Psophodes,no,461241,genus
Paradisaea guilielmi,Paradisaea guilielmi,yes,681200,species
Poecilodryas albonotata,Poecilodryas albonotata,yes,1080716,species
Callaeas cinerea,Callaeas cinerea,yes,192207,species
Malurus alboscapulatus,Malurus alboscapulatus,yes,925988,species
Lalage tricolor,Lalage tricolor,yes,498423,species
Poecilodryas cinereifrons,Poecilodryas,no,665155,genus
Cyornis omissus,Cyornis,no,127912,genus
Zoothera peronii,Zoothera peronii,yes,572149,species
Toxorhamphus novaeguineae,Toxorhamphus novaeguineae,yes,175137,species
Monarcha leucurus,Monarcha,no,175125,genus
Melanocharis longicauda,Melanocharis,no,175123,genus
Melidectes torquatus,Melidectes torquatus,yes,266318,species
Philemon cockerelli,Philemon,no,108843,genus
Pachycephala schlegelii,Pachycephala schlegelii,yes,156163,species
Meliphaga analoga,Meliphaga analoga,yes,175007,species
Corvus mellori,Corvus mellori,yes,1196299,species
Amytornis merrotsyi,Amytornis merrotsyi,yes,555788,species
Amytornis goyderi,Amytornis goyderi,yes,722645,species
Chlamydera nuchalis,Chlamydera nuchalis,yes,34932,species
Aplonis atrifusca,Aplonis,no,245045,genus
Pachycephala arctitorquis,Pachycephala arctitorquis,yes,449380,species
Archboldia papuensis,Archboldia papuensis,yes,34939,species
Streptocitta albertinae,Streptocitta,no,451436,genus
Coracina remota,Coracina remota,yes,880546,species
Ifrita kowaldi,Ifrita kowaldi,yes,461245,species
Lonchura monticola,Lonchura,no,40156,genus
Neolalage banksiana,Neolalage banksiana,yes,338446,species
Sericornis papuensis,Sericornis papuensis,yes,722685,species
Monarcha erythrostictus,Monarcha,no,175125,genus
Rhipidura drownei,Rhipidura,no,107227,genus
Loxops coccineus,Loxops coccineus,yes,64804,species
Paradisaea decora,Paradisaea decora,yes,681199,species
Pachycephala caledonica,Pachycephala caledonica,yes,449373,species
Stagonopleura bella,Stagonopleura,no,247739,genus
Aplonis striata,Aplonis,no,245045,genus
Eopsaltria australis,Eopsaltria australis,yes,44318,species
Phylloscopus poliocephalus,Phylloscopus poliocephalus,yes,287173,species
Gerygone levigaster,Gerygone levigaster,yes,722652,species
Microeca griseoceps,Microeca griseoceps,yes,665146,species
Acanthiza iredalei,Acanthiza iredalei,yes,117189,species
Ptilorrhoa castanonota,Ptilorrhoa castanonota,yes,449385,species
Zosterops murphyi,Zosterops murphyi,yes,589902,species
Ailuroedus buccoides,Ailuroedus buccoides,yes,1055197,species
Rukia longirostra,no_record,no,no_record,no_record
Rhipidura tenebrosa,Rhipidura tenebrosa,yes,667194,species
Lonchura pallida,Lonchura pallida,yes,267977,species
Acrocephalus taiti,Acrocephalus taiti,yes,435342,species
Pitohui ferrugineus,Pitohui ferrugineus,yes,461223,species
Pitohui dichrous,Pitohui dichrous,yes,156166,species
Stipiturus malachurus,Stipiturus malachurus,yes,342565,species
Melanodryas vittata,Melanodryas vittata,yes,665144,species
Anthus gutturalis,Anthus,no,36257,genus
Lichenostomus cratitius,Lichenostomus cratitius,yes,998099,species
Erythrura kleinschmidti,Erythrura,no,44315,genus
Mayrornis schistaceus,Mayrornis,no,338451,genus
Astrapia rothschildi,Astrapia rothschildi,yes,681185,species
Pycnopygius cinereus,Pycnopygius cinereus,yes,266376,species
Philemon argenticeps,Philemon argenticeps,yes,266326,species
Philemon corniculatus,Philemon corniculatus,yes,108844,species
Sipodotus wallacii,Sipodotus wallacii,yes,1034748,species
Oriolus forsteni,Oriolus forsteni,yes,890058,species
Lalage sueurii,Lalage sueurii,yes,424883,species
Sericornis arfakianus,Sericornis,no,27581,genus
Lichmera lombokia,Lichmera,no,266361,genus
Zoothera heinei,Zoothera heinei,yes,311347,species
Lichmera notabilis,Lichmera,no,266361,genus
Pardalotus quadragintus,Pardalotus,yes,585477,species
Stipiturus mallee,Stipiturus mallee,yes,266393,species
Monarcha infelix,Monarcha,no,175125,genus
Aplonis corvina,Aplonis,no,245045,genus
Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,yes,266418,species
Lichenostomus unicolor,Lichenostomus unicolor,yes,722680,species
Monarcha browni,Monarcha,no,175125,genus
Zoothera erythronota,Zoothera erythronota,yes,486371,species
Rhipidura dedemi,Rhipidura,no,107227,genus
Pomarea dimidiata,Pomarea dimidiata,yes,237972,species
Poephila cincta,Poephila cincta,yes,247741,species
Myzomela nigrita,Myzomela,no,108837,genus
Dasyornis longirostris,Dasyornis,no,243058,genus
Paradisaea apoda,Paradisaea apoda,yes,681198,species
Myzomela malaitae,Myzomela,no,108837,genus
Anthochaera carunculata,Anthochaera carunculata,yes,266366,species
Xanthotis flaviventer,Xanthotis flaviventer,yes,266389,species
Lalage moesta,Lalage,no,254545,genus
Paramythia montium,Paramythia montium,yes,254574,species
Zosterops ugiensis,Zosterops ugiensis,yes,589908,species
Taeniopygia bichenovii,Taeniopygia bichenovii,yes,247775,species
Petroica rosea,Petroica rosea,yes,461222,species
Myzomela boiei,Myzomela,no,108837,genus
Vestiaria coccinea,Vestiaria coccinea,yes,64815,species
Myiagra nana,Myiagra,no,107223,genus
Machaerirhynchus nigripectus,Machaerirhynchus nigripectus,yes,1160894,species
Dasyornis brachypterus,Dasyornis brachypterus,yes,722651,species
Zosterops hypoxanthus,Zosterops,no,36298,genus
Pachycephala rufiventris,Pachycephala rufiventris,yes,381037,species
Amytornis textilis,Amytornis textilis,yes,722647,species
Rhinomyias colonus,Rhinomyias,no,245064,genus
Aplonis metallica,Aplonis metallica,yes,381019,species
Lalage sharpei,Lalage sharpei,yes,880550,species
Megalurulus mariei,no_record,no,no_record,no_record
Poephila personata,Poephila personata,yes,522439,species
Colluricincla megarhyncha,Colluricincla megarhyncha,yes,156160,species
Lichenostomus flavus,Lichenostomus flavus,yes,266315,species
Corvus tristis,Corvus tristis,yes,1196314,species
Dicaeum nehrkorni,Dicaeum,no,135426,genus
Ptiloris intercedens,Ptiloris intercedens,yes,681207,species
Atrichornis rufescens,Atrichornis,no,449593,genus
Zosterops cinereus,Zosterops,no,36298,genus
Zosterops albogularis,Zosterops,no,36298,genus
Pachycephalopsis hattamensis,Pachycephalopsis hattamensis,yes,449355,species
Toxorhamphus poliopterus,Toxorhamphus poliopterus,yes,483554,species
Lichenostomus obscurus,Lichenostomus obscurus,yes,998105,species
Colluricincla tenebrosa,Colluricincla,no,156159,genus
Drepanornis albertisi,Drepanornis,no,681189,genus
Myiagra galeata,Myiagra,no,107223,genus
Microeca flavovirescens,Microeca flavovirescens,yes,665159,species
Chaetorhynchus papuensis,Chaetorhynchus papuensis,yes,254446,species
Aplonis tabuensis,Aplonis tabuensis,yes,381106,species
Cinnyris jugularis,Cinnyris,yes,570433,genus
Eopsaltria griseogularis,Eopsaltria griseogularis,yes,665143,species
Myiagra ruficollis,Myiagra,no,107223,genus
Zosterops oleagineus,Zosterops oleagineus,yes,135990,species
Moho bishopi,Moho bishopi,yes,572099,species
Myzomela jugularis,Myzomela,no,108837,genus
Philemon buceroides,Philemon buceroides,yes,266327,species
Drymodes superciliaris,Drymodes superciliaris,yes,1080357,species
Lonchura montana,Lonchura,no,40156,genus
Meliphaga montana,Meliphaga montana,yes,390644,species
Lonchura hunsteini,Lonchura,no,40156,genus
Peneothello bimaculata,Peneothello bimaculata,yes,254640,species
Poecilodryas albispecularis,Poecilodryas albispecularis,yes,38565,species
Artamus maximus,Artamus maximus,yes,1160893,species
Ptiloprora guisei,Ptiloprora guisei,yes,266330,species
Thapsinillas affinis,no_record,no,no_record,no_record
Tesia everetti,Tesia everetti,yes,1126074,species
Lichmera indistincta,Lichmera indistincta,yes,266363,species
Pachycare flavogriseum,Pachycare flavogriseum,yes,692111,species
Lichmera alboauricularis,Lichmera alboauricularis,yes,266362,species
Woodfordia lacertosa,Woodfordia,no,141188,genus
Philemon albitorques,Philemon,no,108843,genus
Lichmera argentauris,Lichmera,no,266361,genus
Tregellasia capito,Tregellasia capito,yes,665158,species
Rhipidura phasiana,Rhipidura phasiana,yes,667192,species
Mohoua albicilla,Mohoua albicilla,yes,626427,species
Malurus lamberti,Malurus lamberti,yes,228352,species
Myzomela eichhorni,Myzomela,no,108837,genus
Myzomela sclateri,Myzomela,no,108837,genus
Chasiempis sandwichensis,Chasiempis sandwichensis,yes,291285,species
Coracina caeruleogrisea,Coracina caeruleogrisea,yes,424849,species
Cisticola exilis,Cisticola,yes,52621,genus
Acanthorhynchus superciliosus,Acanthorhynchus superciliosus,yes,266335,species
Heinrichia calligyna,Heinrichia calligyna,yes,758443,species
Poephila acuticauda,Poephila acuticauda,yes,259256,species
Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,yes,108821,species
Melidectes fuscus,Melidectes,no,43160,genus
Pomarea nigra,Pomarea nigra,yes,237978,species
Philemon diemenensis,Philemon,no,108843,genus
Prosthemadera novaeseelandiae,Prosthemadera novaeseelandiae,yes,266374,species
Cracticus quoyi,Cracticus quoyi,yes,254525,species
Monarcha rubiensis,Monarcha rubiensis,yes,338470,species
Malurus campbelli,Malurus campbelli,yes,1034722,species
Parotia helenae,Parotia helenae,yes,681202,species
Lichenostomus flavescens,Lichenostomus flavescens,yes,670926,species
Eulacestoma nigropectus,Eulacestoma nigropectus,yes,461239,species
Timeliopsis fallax,Timeliopsis,no,266381,genus
Corvus florensis,Corvus florensis,yes,1196286,species
Menura alberti,Menura alberti,yes,1094189,species
Zosterops finschii,Zosterops,no,36298,genus
Pomatostomus halli,Pomatostomus halli,yes,9180,species
Myzomela lafargei,Myzomela lafargei,yes,381035,species
Cnemophilus loriae,Cnemophilus loriae,yes,254448,species
Gerygone cinerea,Gerygone cinerea,yes,1158111,species
Campochaera sloetii,Campochaera sloetii,yes,498412,species
Cleptornis marchei,Cleptornis marchei,yes,43157,species
Pitta dohertyi,Pitta,no,9162,genus
Monarcha pileatus,Monarcha,no,175125,genus
Pitta superba,Pitta superba,yes,397299,species
Loxioides bailleui,Loxioides bailleui,yes,286692,species
Philemon brassi,Philemon,no,108843,genus
Cincloramphus cruralis,Cincloramphus cruralis,yes,979576,species
Acanthiza pusilla,Acanthiza pusilla,yes,117193,species
Astrapia nigra,Astrapia nigra,yes,681184,species
Zosterops grayi,Zosterops,no,36298,genus
