query_name,returned_name,use?,taxon_id,rank
Myadestes palmeri,Myadestes,no,123380,genus
Rhipidura personata,Rhipidura,no,107227,genus
Ptiloprora meekiana,Ptiloprora,no,9147,genus
Lichenostomus leucotis,Lichenostomus leucotis,yes,722677,species
Rhipidura leucophrys,Rhipidura leucophrys,yes,512576,species
Timeliopsis fulvigula,Timeliopsis fulvigula,yes,266382,species
Paradisaea raggiana,Paradisaea raggiana,yes,36268,species
Orthonyx temminckii,Orthonyx temminckii,yes,151708,species
Climacteris erythrops,Climacteris erythrops,yes,254447,species
Manorina melanocephala,Manorina melanocephala,yes,44314,species
Parotia carolae,Parotia carolae,yes,681201,species
Saxicola gutturalis,Saxicola gutturalis,yes,517772,species
Seleucidis melanoleucus,Seleucidis melanoleucus,yes,36265,species
Coracina salomonis,Coracina salomonis,yes,880548,species
Megalurus macrurus,Megalurus,no,69941,genus
Gerygone olivacea,Gerygone olivacea,yes,117496,species
Lichenostomus ornatus,Lichenostomus ornatus,yes,722679,species
Colluricincla boweri,Colluricincla boweri,yes,675632,species
Pomatostomus superciliosus,Pomatostomus superciliosus,yes,9177,species
Palmeria dolei,Palmeria dolei,yes,64809,species
Lichenostomus frenatus,Lichenostomus frenatus,yes,998102,species
Meliphaga vicina,Meliphaga,no,108831,genus
Lycocorax pyrrhopterus,Lycocorax pyrrhopterus,yes,681192,species
Pardalotus striatus,Pardalotus striatus,yes,108840,species
Pitta vigorsii,Pitta,no,9162,genus
Myzomela tristrami,Myzomela,no,108837,genus
Malurus melanocephalus,Malurus melanocephalus,yes,175006,species
Erythrura hyperythra,Erythrura hyperythra,yes,414897,species
Philemon inornatus,Philemon,no,108843,genus
Acrocephalus syrinx,Acrocephalus syrinx,yes,435333,species
Lalage leucomela,Lalage leucomela,yes,254546,species
Dicrurus bracteatus,Dicrurus bracteatus,yes,424881,species
Manucodia jobiensis,Manucodia jobiensis,yes,681193,species
Megalurulus whitneyi,no_record,no,no_record,no_record
Ptilorrhoa leucosticta,Ptilorrhoa leucosticta,yes,449384,species
Ficedula henrici,Ficedula,no,36292,genus
Parotia wahnesi,Parotia wahnesi,yes,681204,species
Aplonis crassa,Aplonis,no,245045,genus
Coracina nesiotis,Coracina,no,108824,genus
Oreomystis mana,Oreomystis mana,yes,64807,species
Xenicus gilviventris,no_record,no,no_record,no_record
Zosterops nehrkorni,Zosterops,no,36298,genus
Taeniopygia guttata,Taeniopygia guttata,yes,59729,species
Artamus superciliosus,Artamus superciliosus,yes,335547,species
Philemon kisserensis,Philemon,no,108843,genus
Coracina longicauda,Coracina longicauda,yes,424855,species
Aphelocephala nigricincta,Aphelocephala nigricincta,yes,722648,species
Petroica archboldi,Petroica,no,228563,genus
Corvus moneduloides,Corvus moneduloides,yes,1196302,species
Coracina incerta,Coracina incerta,yes,424873,species
Myzomela cardinalis,Myzomela cardinalis,yes,265620,species
Poecilodryas superciliosa,Poecilodryas superciliosa,yes,665157,species
Acanthiza robustirostris,Acanthiza robustirostris,yes,117197,species
Menura novaehollandiae,Menura novaehollandiae,yes,47692,species
Pyrrholaemus sagittatus,Pyrrholaemus sagittatus,yes,720578,species
Hirundo neoxena,Hirundo neoxena,yes,317132,species
Monarcha godeffroyi,Monarcha,no,175125,genus
Eugerygone rubra,Eugerygone rubra,yes,254536,species
Heleia crassirostris,Heleia crassirostris,yes,634299,species
Myzomela rubratra,Myzomela rubratra,yes,135975,species
Acrocephalus atyphus,Acrocephalus atyphus,yes,435339,species
Lonchura grandis,Lonchura,no,40156,genus
Pitohui incertus,Pitohui incertus,yes,461224,species
Meliphaga mimikae,Meliphaga mimikae,yes,390645,species
Gerygone tenebrosa,Gerygone tenebrosa,yes,1158113,species
Myiagra cyanoleuca,Myiagra cyanoleuca,yes,107231,species
Myiagra freycineti,Myiagra,no,107223,genus
Rukia ruki,no_record,no,no_record,no_record
Coracina atriceps,Coracina atriceps,yes,424846,species
Aplonis feadensis,Aplonis,no,245045,genus
Cinclosoma ajax,Cinclosoma ajax,yes,1110501,species
Malurus amabilis,Malurus amabilis,yes,165193,species
Myiagra hebetior,Myiagra hebetior,yes,381031,species
Lophozosterops squamiceps,Lophozosterops squamiceps,yes,589844,species
Acridotheres cinereus,Acridotheres cinereus,yes,513299,species
Clytorhynchus nigrogularis,Clytorhynchus,no,338448,genus
Drymodes brunneopygia,Drymodes brunneopygia,yes,626378,species
Gymnomyza viridis,Gymnomyza,no,572100,genus
Guadalcanaria inexpectata,no_record,no,no_record,no_record
Acrocephalus kerearako,Acrocephalus kerearako,yes,435340,species
Anthochaera paradoxa,Anthochaera paradoxa,yes,266369,species
Zosterops metcalfii,Zosterops metcalfii,yes,589901,species
Climacteris picumnus,Climacteris picumnus,yes,175000,species
Pachycephala sulfuriventer,Pachycephala sulfuriventer,yes,449366,species
Oriolus flavocinctus,Oriolus flavocinctus,yes,449354,species
Oriolus phaeochromus,Oriolus phaeochromus,yes,890113,species
Monarcha barbatus,Monarcha barbatus,yes,338461,species
Petroica traversi,Petroica traversi,yes,228564,species
Cracticus mentalis,Cracticus mentalis,yes,1120785,species
Calamanthus montanellus,Calamanthus,no,720582,genus
Parotia sefilata,Parotia sefilata,yes,681203,species
Cincloramphus mathewsi,Cincloramphus mathewsi,yes,237418,species
Zoothera talaseae,Zoothera talaseae,yes,311346,species
Emblema pictum,Emblema pictum,yes,247745,species
Peneothello cyanus,Peneothello cyanus,yes,665149,species
Zoothera margaretae,Zoothera,yes,1200834,species
Hylocitrea bonensis,Hylocitrea bonensis,yes,498422,species
Lonchura fuscata,Lonchura,no,40156,genus
Mirafra javanica,Mirafra javanica,yes,215312,species
Pycnoptilus floccosus,Pycnoptilus floccosus,yes,720588,species
Pycnopygius stictocephalus,Pycnopygius stictocephalus,yes,266377,species
Lalage leucopygialis,Lalage leucopygialis,yes,498425,species
Myza celebensis,no_record,no,no_record,no_record
Phylloscopus presbytes,Phylloscopus presbytes,yes,287175,species
Zosterops stresemanni,Zosterops stresemanni,yes,589907,species
Melidectes whitemanensis,Melidectes,no,43160,genus
Myadestes myadestinus,Myadestes,no,123380,genus
Paroreomyza maculata,Paroreomyza,no,64810,genus
Pomatostomus temporalis,Pomatostomus temporalis,yes,9178,species
Petroica multicolor,Petroica multicolor,yes,369483,species
Pachycephala implicata,Pachycephala,yes,461221,species
Phylidonyris albifrons,Phylidonyris albifrons,yes,266415,species
Heleia muelleri,Heleia,no,634298,genus
Zosterops wallacei,Zosterops wallacei,yes,589911,species
Basilornis celebensis,Basilornis celebensis,yes,451430,species
Pomarea whitneyi,Pomarea whitneyi,yes,237977,species
Lichenostomus versicolor,Lichenostomus versicolor,yes,998108,species
Pachycephala orpheus,Pachycephala,yes,461221,species
Coracina leucopygia,Coracina leucopygia,yes,424854,species
Lonchura leucosticta,Lonchura,no,40156,genus
Myiagra erythrops,Myiagra,no,107223,genus
Timeliopsis griseigula,Timeliopsis griseigula,yes,266383,species
Origma solitaria,Origma solitaria,yes,720586,species
Zoothera mendeni,Zoothera,yes,1200834,species
Rhinomyias additus,Rhinomyias additus,yes,869924,species
Zoothera dumasi,Zoothera,yes,1200834,species
Rhipidura malaitae,Rhipidura,no,107227,genus
Erythrura tricolor,Erythrura tricolor,yes,522418,species
Sericornis frontalis,Sericornis frontalis,yes,108847,species
Pachycephala macrorhyncha,Pachycephala macrorhyncha,yes,521089,species
Lichmera deningeri,Lichmera,no,266361,genus
Melidectes foersteri,Melidectes,no,43160,genus
Rhagologus leucostigma,Rhagologus leucostigma,yes,156170,species
Crateroscelis robusta,Crateroscelis robusta,yes,692109,species
Phylloscopus amoenus,Phylloscopus amoenus,yes,322142,species
Dasyornis broadbenti,Dasyornis broadbenti,yes,243059,species
Artamus monachus,Artamus,yes,585475,species
Myiagra inquieta,Myiagra inquieta,yes,381032,species
Pachycephala orioloides,Pachycephala orioloides,yes,521084,species
Artamus cyanopterus,Artamus cyanopterus,yes,254442,species
Peneothello sigillata,Peneothello sigillata,yes,665150,species
Colluricincla harmonica,Colluricincla harmonica,yes,254449,species
Conopophila rufogularis,Conopophila rufogularis,yes,266347,species
Dicaeum eximium,Dicaeum eximium,yes,667154,species
Myzomela obscura,Myzomela obscura,yes,266323,species
Oedistoma pygmaeum,Oedistoma pygmaeum,yes,483553,species
Cyornis djampeanus,Cyornis,no,127912,genus
Mayrornis lessoni,Mayrornis lessoni,yes,338452,species
Colluricincla umbrina,Colluricincla,no,156159,genus
Pachycephala monacha,Pachycephala,yes,461221,species
Urosphena subulata,Urosphena,yes,260107,genus
Sericornis magnirostra,Sericornis,no,27581,genus
Erythrura cyaneovirens,Erythrura,no,44315,genus
Rhipidura maculipectus,Rhipidura,no,107227,genus
Daphoenositta miranda,Daphoenositta,no,254527,genus
Rhipidura brachyrhyncha,Rhipidura brachyrhyncha,yes,667184,species
Lonchura stygia,Lonchura,no,40156,genus
Philemon novaeguineae,Philemon,no,108843,genus
Sericornis rufescens,Sericornis,no,27581,genus
Cinclosoma castanotum,Cinclosoma castanotum,yes,1110500,species
Zosterops mysorensis,Zosterops,no,36298,genus
Machaerirhynchus flaviventer,Machaerirhynchus flaviventer,yes,338559,species
Megalurus albolimbatus,Megalurus,no,69941,genus
Paradisaea rudolphi,Paradisaea rudolphi,yes,36267,species
Melipotes ater,Melipotes,no,108833,genus
Zosterops splendidus,Zosterops splendidus,yes,589906,species
Amytornis purnelli,Amytornis purnelli,yes,722646,species
Woodfordia superciliosa,Woodfordia superciliosa,yes,589863,species
Grallina cyanoleuca,Grallina cyanoleuca,yes,254541,species
Coracina parvula,Coracina,no,108824,genus
Pitta erythrogaster,Pitta erythrogaster,yes,363773,species
Acanthagenys rufogularis,Acanthagenys rufogularis,yes,266413,species
Acrocephalus caffer,Acrocephalus caffer,yes,435337,species
Pitta sordida,Pitta sordida,yes,9163,species
Macgregoria pulchra,Macgregoria pulchra,yes,108830,species
Zosterops stalkeri,Zosterops,no,36298,genus
Cracticus cassicus,Cracticus,no,254524,genus
Epthianura albifrons,Epthianura albifrons,yes,266351,species
Tregellasia leucops,Tregellasia leucops,yes,175139,species
Amblyornis inornata,Amblyornis,no,9165,genus
Philesturnus carunculatus,Philesturnus carunculatus,yes,192213,species
Pachycephala mentalis,Pachycephala,yes,461221,species
Conopophila albogularis,Conopophila albogularis,yes,266346,species
Geomalia heinrichi,no_record,no,no_record,no_record
Lophozosterops pinaiae,Lophozosterops,no,589842,genus
Manucodia comrii,Manucodia comrii,yes,36261,species
Coracina fortis,Coracina,no,108824,genus
Meliphaga albonotata,Meliphaga albonotata,yes,266319,species
Peneothello cryptoleuca,Peneothello,no,254639,genus
Aethopyga duyvenbodei,Aethopyga duyvenbodei,yes,667140,species
Entomyzon cyanotis,Entomyzon cyanotis,yes,266349,species
Lichenostomus flavicollis,Lichenostomus flavicollis,yes,998101,species
Phylloscopus makirensis,Phylloscopus,no,9181,genus
Amytornis ballarae,Amytornis ballarae,yes,722641,species
Aplonis fusca,Aplonis,no,245045,genus
Glyciphila melanops,Glyciphila melanops,yes,1156028,species
Pachycephala citreogaster,Pachycephala citreogaster,yes,521068,species
Corvus typicus,Corvus typicus,yes,1196315,species
Monarcha leucotis,Monarcha leucotis,yes,338472,species
Lonchura teerinki,Lonchura,no,40156,genus
Corvus hawaiiensis,Corvus hawaiiensis,yes,134902,species
Coracornis raveni,Coracornis raveni,yes,498420,species
Rhipidura dryas,Rhipidura dryas,yes,667188,species
Lichenostomus chrysops,Lichenostomus chrysops,yes,998093,species
Corvus tasmanicus,Corvus tasmanicus,yes,1196310,species
Neochmia ruficauda,Neochmia ruficauda,yes,247737,species
Gerygone chrysogaster,Gerygone chrysogaster,yes,266332,species
Meliphaga aruensis,Meliphaga aruensis,yes,390647,species
Mayrornis versicolor,Mayrornis,no,338451,genus
Oreocharis arfaki,Oreocharis arfaki,yes,979223,species
Prionodura newtoniana,Prionodura newtoniana,yes,34935,species
Lonchura melaena,Lonchura,no,40156,genus
Corvus unicolor,Corvus unicolor,yes,1196317,species
Corvus woodfordi,Corvus woodfordi,yes,1196320,species
Rhinomyias oscillans,Rhinomyias,no,245064,genus
Cettia parens,Cettia parens,yes,359649,species
Lalage leucopyga,Lalage leucopyga,yes,498424,species
Lophozosterops superciliaris,Lophozosterops superciliaris,yes,589845,species
Poecilodryas placens,Poecilodryas placens,yes,1080718,species
Monarcha bimaculatus,Monarcha,no,175125,genus
Monarcha sacerdotum,Monarcha,no,175125,genus
Zosterops vellalavella,Zosterops vellalavella,yes,589909,species
Dicaeum maugei,Dicaeum,no,135426,genus
Erythrura gouldiae,Erythrura gouldiae,yes,44316,species
Melilestes megarhynchus,Melilestes megarhynchus,yes,266365,species
Rhipidura threnothorax,Rhipidura threnothorax,yes,381044,species
Oreornis chrysogenys,no_record,no,no_record,no_record
Pitohui cristatus,Pitohui cristatus,yes,254643,species
Oreoica gutturalis,Oreoica gutturalis,yes,254566,species
Monarcha cinerascens,Monarcha cinerascens,yes,338463,species
Daphoenositta papuensis,Daphoenositta,no,254527,genus
Parotia lawesii,Parotia lawesii,yes,39961,species
Meliphaga orientalis,Meliphaga orientalis,yes,390646,species
Sericulus chrysocephalus,Sericulus chrysocephalus,yes,34937,species
Hemignathus virens,Hemignathus virens,yes,64799,species
Pachycephala olivacea,Pachycephala olivacea,yes,449356,species
Gerygone inornata,Gerygone inornata,yes,1158116,species
Monarcha frater,Monarcha frater,yes,338455,species
Monarcha richardsii,Monarcha richardsii,yes,381028,species
Melanodryas cucullata,Melanodryas cucullata,yes,254554,species
Dicaeum nitidum,Dicaeum,no,135426,genus
Climacteris affinis,Climacteris,no,47694,genus
Zosterops citrinella,Zosterops,no,36298,genus
Dicaeum pectorale,Dicaeum pectorale,yes,381025,species
Dicrurus montanus,Dicrurus,no,107204,genus
Melithreptus lunatus,Melithreptus lunatus,yes,108836,species
Philemon fuscicapillus,Philemon,no,108843,genus
Aleadryas rufinucha,Aleadryas rufinucha,yes,461220,species
Zosterops strenuus,Zosterops,no,36298,genus
Ramsayornis modestus,Ramsayornis modestus,yes,266380,species
Aplonis mystacea,Aplonis,no,245045,genus
Certhionyx niger,Certhionyx niger,yes,266342,species
Ptiloris paradiseus,Ptiloris paradiseus,yes,28720,species
Corvus fuscicapillus,Corvus fuscicapillus,yes,1196287,species
Climacteris rufus,Climacteris rufus,yes,47695,species
Myiagra cervinicauda,Myiagra,no,107223,genus
Aplonis zelandica,Aplonis,no,245045,genus
Epthianura tricolor,Epthianura tricolor,yes,266354,species
Aplonis mysolensis,Aplonis,no,245045,genus
Aplonis mavornata,Aplonis,no,245045,genus
Amalocichla incerta,Amalocichla incerta,yes,692106,species
Acrocephalus familiaris,Acrocephalus familiaris,yes,435335,species
Pachycephala modesta,Pachycephala modesta,yes,449364,species
Paroreomyza flammea,Paroreomyza,no,64810,genus
Megalurus timoriensis,Megalurus timoriensis,yes,980225,species
Zosterops tenuirostris,Zosterops,no,36298,genus
Muscicapa segregata,Muscicapa,yes,69507,genus
Lichenostomus virescens,Lichenostomus virescens,yes,335985,species
Cracticus louisiadensis,Cracticus,no,254524,genus
Rhipidura diluta,Rhipidura diluta,yes,667187,species
Gymnorhina tibicen,no_record,no,no_record,no_record
Calamanthus cautus,Calamanthus cautus,yes,722674,species
Pachycephala graeffii,Pachycephala,yes,461221,species
Pseudonestor xanthophrys,Pseudonestor xanthophrys,yes,64813,species
Corvus validus,Corvus validus,yes,1196318,species
Climacteris melanurus,Climacteris,no,47694,genus
Daphoenositta chrysoptera,Daphoenositta chrysoptera,yes,254528,species
Zosterops semperi,Zosterops semperi,yes,135988,species
Dicaeum vulneratum,Dicaeum,no,135426,genus
Coracina morio,Coracina morio,yes,424871,species
Cnemophilus macgregorii,Cnemophilus macgregorii,yes,108823,species
Strepera fuliginosa,Strepera fuliginosa,yes,1120784,species
Cinnyris buettikoferi,Cinnyris,no,570433,genus
Coracina abbotti,Coracina abbotti,yes,424857,species
Rhipidura hyperythra,Rhipidura hyperythra,yes,381040,species
Gerygone fusca,Gerygone fusca,yes,117203,species
Acrocephalus aequinoctialis,Acrocephalus aequinoctialis,yes,435336,species
Acanthiza nana,Acanthiza nana,yes,117192,species
Dicaeum hirundinaceum,Dicaeum hirundinaceum,yes,381024,species
Coracina maxima,Coracina maxima,yes,424840,species
Anthochaera lunulata,Anthochaera lunulata,yes,266368,species
Melidectes princeps,Melidectes,no,43160,genus
Rhipidura cockerelli,Rhipidura cockerelli,yes,381038,species
Pachycephala nudigula,Pachycephala nudigula,yes,449376,species
Lonchura quinticolor,Lonchura quinticolor,yes,522431,species
Rhipidura kubaryi,Rhipidura,no,107227,genus
Aplonis opaca,Aplonis,no,245045,genus
Calamanthus campestris,Calamanthus campestris,yes,722649,species
Finschia novaeseelandiae,Finschia,yes,524978,genus
Chlamydera lauterbachi,Chlamydera lauterbachi,yes,54078,species
Paradisaea rubra,Paradisaea rubra,yes,39963,species
Malurus splendens,Malurus splendens,yes,222595,species
Coracina lineata,Coracina lineata,yes,175001,species
Amytornis woodwardi,Amytornis woodwardi,yes,912966,species
Cettia carolinae,Cettia carolinae,yes,393629,species
Melipotes gymnops,Melipotes,no,108833,genus
Pachycephala aurea,Pachycephala,yes,461221,species
Coracina personata,Coracina,no,108824,genus
Paradigalla carunculata,Paradigalla carunculata,yes,681197,species
Myiagra albiventris,Myiagra,no,107223,genus
Monarcha viduus,Monarcha,no,175125,genus
Cinclosoma cinnamomeum,Cinclosoma cinnamomeum,yes,1110498,species
Aplonis grandis,Aplonis grandis,yes,381018,species
Coracina caledonica,Coracina caledonica,yes,424848,species
Ashbyia lovensis,Ashbyia lovensis,yes,266339,species
Falcunculus leucogaster,Falcunculus,no,254538,genus
Zosterops lateralis,Zosterops lateralis,yes,43581,species
Rhipidura teysmanni,Rhipidura teysmanni,yes,667195,species
Artamus minor,Artamus minor,yes,335549,species
Certhionyx pectoralis,Certhionyx pectoralis,yes,266343,species
Rhipidura rufifrons,Rhipidura rufifrons,yes,135976,species
Gymnomyza samoensis,Gymnomyza samoensis,yes,572101,species
Corvus orru,Corvus orru,yes,254520,species
Petroica goodenovii,Petroica goodenovii,yes,242120,species
Malurus cyaneus,Malurus cyaneus,yes,55807,species
Monarcha manadensis,Monarcha manadensis,yes,338466,species
Corvus violaceus,Corvus violaceus,yes,1196319,species
Melithreptus validirostris,Melithreptus validirostris,yes,863590,species
Drepanornis bruijnii,Drepanornis bruijnii,yes,681190,species
Lichenostomus plumulus,Lichenostomus plumulus,yes,998106,species
Erythrura papuana,Erythrura,no,44315,genus
Dicaeum annae,Dicaeum,no,135426,genus
Meliarchus sclateri,no_record,no,no_record,no_record
Melanocharis arfakiana,Melanocharis,no,175123,genus
Lichmera monticola,Lichmera,no,266361,genus
Monachella muelleriana,Monachella muelleriana,yes,1080469,species
Myza sarasinorum,no_record,no,no_record,no_record
Ptilonorhynchus violaceus,Ptilonorhynchus violaceus,yes,28724,species
Dicaeum igniferum,Dicaeum igniferum,yes,667156,species
Zosterops luteirostris,Zosterops luteirostris,yes,589899,species
Myzomela cruentata,Myzomela,no,108837,genus
Streptocitta albicollis,Streptocitta albicollis,yes,451437,species
Enodes erythrophris,Enodes erythrophris,yes,451433,species
Melampitta gigantea,Melampitta gigantea,yes,156162,species
Acrocephalus mendanae,Acrocephalus mendanae,yes,435338,species
Acanthiza reguloides,Acanthiza reguloides,yes,117195,species
Acanthiza inornata,Acanthiza inornata,yes,117188,species
Erythrura psittacea,Erythrura psittacea,yes,1036804,species
Xanthotis polygrammus,Xanthotis,no,266388,genus
Calamanthus fuliginosus,Calamanthus fuliginosus,yes,722650,species
Aplonis santovestris,Aplonis,no,245045,genus
Zosterops kuehni,Zosterops,no,36298,genus
Lichenostomus fuscus,Lichenostomus fuscus,yes,43159,species
Lamprolia victoriae,Lamprolia victoriae,yes,559178,species
Garritornis isidorei,no_record,no,no_record,no_record
Philemon yorki,Philemon,no,108843,genus
Oriolus bouroensis,Oriolus bouroensis,yes,890049,species
Chlamydera maculata,Chlamydera maculata,yes,34931,species
Artamus leucorynchus,Artamus,yes,585475,species
Grantiella picta,Grantiella picta,yes,266360,species
Mino anais,Mino anais,yes,245040,species
Eutrichomyias rowleyi,no_record,no,no_record,no_record
Acanthiza uropygialis,Acanthiza uropygialis,yes,117199,species
Philemon eichhorni,Philemon eichhorni,yes,1118818,species
Myzomela pammelaena,Myzomela,no,108837,genus
Cyornis sanfordi,Cyornis,no,127912,genus
Melithreptus brevirostris,Melithreptus brevirostris,yes,266321,species
Cracticus argenteus,Cracticus,no,254524,genus
Sphecotheres vieilloti,Sphecotheres vieilloti,yes,254661,species
Acrocephalus luscinius,Acrocephalus luscinius,yes,435332,species
Anthornis melanura,Anthornis melanura,yes,698975,species
Zosterops chloris,Zosterops chloris,yes,589876,species
Microeca fascinans,Microeca fascinans,yes,461219,species
Acanthiza lineata,Acanthiza lineata,yes,117191,species
Rhipidura dahli,Rhipidura dahli,yes,667186,species
Myzomela chloroptera,Myzomela,no,108837,genus
Rhamphocharis crassirostris,no_record,no,no_record,no_record
Colluricincla sanghirensis,Colluricincla,no,156159,genus
Monarcha trivirgatus,Monarcha trivirgatus,yes,381029,species
Pitta versicolor,Pitta versicolor,yes,182340,species
Monarcha loricatus,Monarcha,no,175125,genus
Aphelocephala leucopsis,Aphelocephala leucopsis,yes,117201,species
Malurus elegans,Malurus elegans,yes,720584,species
Psittirostra psittacea,no_record,no,no_record,no_record
Microeca papuana,Microeca papuana,yes,254556,species
Atrichornis clamosus,Atrichornis clamosus,yes,449594,species
Lichmera flavicans,Lichmera,no,266361,genus
Zoothera dohertyi,Zoothera dohertyi,yes,572145,species
Pachycephala jacquinoti,Pachycephala,yes,461221,species
Monarcha verticalis,Monarcha verticalis,yes,1118791,species
Cyornis hoevelli,Cyornis,yes,127912,genus
Aplonis cantoroides,Aplonis cantoroides,yes,451387,species
Mino kreffti,Mino kreffti,yes,451411,species
Myzomela kuehni,Myzomela,no,108837,genus
Myiagra ferrocyanea,Myiagra ferrocyanea,yes,381030,species
Zosterops minutus,Zosterops,no,36298,genus
Pardalotus punctatus,Pardalotus punctatus,yes,254575,species
Meliphaga flavirictus,Meliphaga flavirictus,yes,390650,species
Cyornis hyacinthinus,Cyornis,no,127912,genus
Aplonis magna,Aplonis,no,245045,genus
Corvus bennetti,Corvus bennetti,yes,1196223,species
Chlamydera cerviniventris,Chlamydera cerviniventris,yes,34933,species
Acanthiza apicalis,Acanthiza apicalis,yes,117185,species
Metabolus rugensis,Metabolus rugensis,yes,338454,species
Pitta maxima,Pitta maxima,yes,397298,species
Petrochelidon nigricans,Petrochelidon,yes,72883,genus
Aplonis brunneicapillus,Aplonis brunneicapillus,yes,451386,species
Lalage maculosa,Lalage maculosa,yes,632597,species
Lichenostomus hindwoodi,Lichenostomus hindwoodi,yes,998103,species
Ficedula rufigula,Ficedula rufigula,yes,393711,species
Pachycephala hyperythra,Pachycephala hyperythra,yes,449363,species
Neochmia modesta,Neochmia modesta,yes,267974,species
Coracina novaehollandiae,Coracina novaehollandiae,yes,254452,species
Lophozosterops dohertyi,Lophozosterops,no,589842,genus
Monarcha chrysomela,Monarcha chrysomela,yes,254560,species
Lonchura molucca,Lonchura,no,40156,genus
Dicaeum aeneum,Dicaeum aeneum,yes,254529,species
Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,yes,266336,species
Aplonis cinerascens,Aplonis cinerascens,yes,451388,species
Coracina schistacea,Coracina schistacea,yes,424844,species
Epthianura crocea,Epthianura crocea,yes,266353,species
Melitograis gilolensis,no_record,no,no_record,no_record
Coracina sula,Coracina sula,yes,424868,species
Pachycephala melanura,Pachycephala melanura,yes,381036,species
Aphelocephala pectoralis,Aphelocephala,no,117200,genus
Gerygone chloronota,Gerygone chloronota,yes,1158118,species
Acanthiza katherina,Acanthiza katherina,yes,117190,species
Bradypterus castaneus,Bradypterus castaneus,yes,260101,species
Diphyllodes magnificus,Diphyllodes magnificus,yes,28716,species
Loxops caeruleirostris,Loxops caeruleirostris,yes,509921,species
Strepera graculina,Strepera graculina,yes,254663,species
Cicinnurus regius,Cicinnurus regius,yes,36263,species
Pachycephala fulvotincta,Pachycephala,yes,461221,species
Zosterops meeki,Zosterops,no,36298,genus
Stagonopleura guttata,Stagonopleura guttata,yes,247740,species
Ficedula buruensis,Ficedula buruensis,yes,393712,species
Megalurus gramineus,Megalurus gramineus,yes,260106,species
Aplonis minor,Aplonis minor,yes,451390,species
Telespiza ultima,Telespiza ultima,yes,509919,species
Ptiloprora erythropleura,Ptiloprora,no,9147,genus
Cinclosoma punctatum,Cinclosoma punctatum,yes,626376,species
Pitta anerythra,Pitta anerythra,yes,397312,species
Dicrurus megarhynchus,Dicrurus megarhynchus,yes,450177,species
Acrocephalus australis,Acrocephalus australis,yes,68484,species
Zosterops anomalus,Zosterops,no,36298,genus
Xanthomyza phrygia,Xanthomyza phrygia,yes,266387,species
Pitohui nigrescens,Pitohui nigrescens,yes,461230,species
Pachycephala inornata,Pachycephala inornata,yes,449358,species
Lonchura caniceps,Lonchura,no,40156,genus
Peneoenanthe pulverulenta,Peneoenanthe pulverulenta,yes,665148,species
Eopsaltria georgiana,Eopsaltria georgiana,yes,665142,species
Lonchura spectabilis,Lonchura,no,40156,genus
Gerygone flavolateralis,Gerygone flavolateralis,yes,1158117,species
Oreoscopus gutturalis,Oreoscopus gutturalis,yes,626433,species
Megalurulus rufa,no_record,no,no_record,no_record
Lonchura flaviprymna,Lonchura,no,40156,genus
Rhipidura semirubra,Rhipidura,no,107227,genus
Buettikoferella bivittata,no_record,no,no_record,no_record
Saxicola caprata,Saxicola caprata,yes,491955,species
Lichenostomus penicillatus,Lichenostomus penicillatus,yes,481899,species
Gerygone magnirostris,Gerygone magnirostris,yes,722653,species
Plectorhyncha lanceolata,Plectorhyncha lanceolata,yes,266371,species
Dicaeum celebicum,Dicaeum celebicum,yes,667149,species
Myiagra oceanica,Myiagra,no,107223,genus
Zoothera lunulata,Zoothera lunulata,yes,46908,species
Cinclosoma castaneothorax,Cinclosoma castaneothorax,yes,1110496,species
Amblyornis subalaris,Amblyornis subalaris,yes,34926,species
Rhipidura atra,Rhipidura atra,yes,667182,species
Pachycephala vitiensis,Pachycephala vitiensis,yes,679514,species
Poecilodryas hypoleuca,Poecilodryas hypoleuca,yes,1080714,species
Ptilorrhoa caerulescens,Ptilorrhoa caerulescens,yes,254657,species
Falcunculus whitei,Falcunculus,no,254538,genus
Petroica bivittata,Petroica,no,228563,genus
Lonchura forbesi,Lonchura,no,40156,genus
Coracina dohertyi,Coracina dohertyi,yes,424867,species
Phonygammus keraudrenii,Phonygammus keraudrenii,yes,108846,species
Zosterops flavifrons,Zosterops flavifrons,yes,511756,species
Myadestes lanaiensis,Myadestes,no,123380,genus
Lophorina superba,Lophorina superba,yes,39958,species
Lichmera incana,Lichmera,no,266361,genus
Manorina melanophrys,Manorina melanophrys,yes,61467,species
Manucodia chalybatus,Manucodia chalybatus,yes,254550,species
Microeca hemixantha,Microeca,no,254555,genus
Hemignathus lucidus,Hemignathus,no,64797,genus
Malia grata,Malia grata,yes,1149646,species
Coracina temminckii,Coracina temminckii,yes,424850,species
Aplonis circumscripta,Aplonis,no,245045,genus
Mohoua ochrocephala,Mohoua ochrocephala,yes,874463,species
Hirundo tahitica,Hirundo tahitica,yes,317131,species
Rhipidura opistherythra,Rhipidura,no,107227,genus
